node_id,hour,te,q_rem,penalty_cost,revenue
40243821,87600,2720.1534,0.9083,2,86967.6616
40243821,87864,2728.5546,0.9080,2,87274.5891
40243821,8760,324.4233,0.9891,3,11768.5919
40243821,17520,432.8146,0.9854,3,13968.4906
40243821,26280,585.9924,0.9803,3,18206.7228
40243821,35040,741.3456,0.9750,3,23860.0058
40243821,43800,851.5138,0.9713,3,27939.2271
40243821,52560,936.0159,0.9685,3,31100.5277
40243821,61320,1126.5602,0.9620,3,41867.5788
40243821,70080,1301.7553,0.9561,3,50282.3575
40243821,78840,1413.6343,0.9524,3,53824.8112
40243821,87600,1502.1962,0.9494,3,56367.7148
40243821,87864,1506.1834,0.9492,3,56586.0002
40243821,8760,196.7090,0.9934,4,7707.0960
40243821,17520,244.6553,0.9918,4,8716.7024
40243821,26280,325.1552,0.9890,4,11193.7765
40243821,35040,418.4525,0.9859,4,14973.8367
40243821,43800,482.3395,0.9837,4,17726.3198
40243821,52560,523.5502,0.9824,4,19946.7152
40243821,61320,647.7069,0.9782,4,28374.9333
40243821,70080,767.0021,0.9741,4,34590.6222
40243821,78840,834.7714,0.9719,4,36770.5843
40243821,87600,879.0123,0.9704,4,38346.6671
40243821,87864,881.9233,0.9703,4,38512.6427
40243821,8760,136.0524,0.9954,5,5091.9790
40243821,17520,157.1212,0.9947,5,5590.7799
40243821,26280,204.3710,0.9931,5,7079.9429
40243821,35040,267.6203,0.9910,5,9629.8624
40243821,43800,307.3895,0.9896,5,11596.0120
40243821,52560,332.8631,0.9888,5,13286.9108
40243821,61320,418.9282,0.9859,5,20117.2040
40243821,70080,500.1502,0.9831,5,24781.4006
40243821,78840,538.7729,0.9818,5,26162.2871
40243821,87600,561.5339,0.9811,5,27245.6390
40243821,87864,564.2713,0.9810,5,27366.4923
40243821,8760,91.6256,0.9969,6,3295.5461
40243821,17520,101.5821,0.9966,6,3553.8194
40243821,26280,126.8756,0.9957,6,4504.1665
40243821,35040,163.8714,0.9945,6,6298.4480
40243821,43800,191.4917,0.9935,6,7747.9698
40243821,52560,209.9561,0.9929,6,9094.3589
40243821,61320,269.8518,0.9909,6,14787.7970
40243821,70080,332.1824,0.9888,6,18344.3999
40243821,78840,355.2771,0.9880,6,19239.4717
40243821,87600,369.4833,0.9875,6,20036.8973
40243821,87864,371.2608,0.9875,6,20122.0982
40243821,8760,58.1275,0.9980,7,2106.4519
40243821,17520,63.3158,0.9979,7,2252.4961
40243821,26280,80.2687,0.9973,7,2865.5795
40243821,35040,104.1854,0.9965,7,4187.7605
40243821,43800,122.3016,0.9959,7,5288.1428
40243821,52560,134.6460,0.9955,7,6385.1354
40243821,61320,176.0236,0.9941,7,11272.5371
40243821,70080,224.6800,0.9924,7,13964.1605
40243821,78840,239.3489,0.9919,7,14558.6195
40243821,87600,248.4651,0.9916,7,15175.6170
40243821,87864,249.8576,0.9916,7,15235.0073
40243839,8760,1211.3864,0.9591,1,30043.8513
40243839,17520,2164.9161,0.9269,1,41861.5912
40243839,26280,3129.8122,0.8944,1,57246.2373
40243839,35040,4055.7640,0.8632,1,72706.4673
40243839,43800,4945.1251,0.8333,1,84721.2369
40243839,52560,5777.5339,0.8052,1,95268.8091
40243839,61320,6609.0741,0.7772,1,114404.0974
40243839,70080,7402.9257,0.7504,1,127781.2475
40243839,78840,8106.3096,0.7268,1,136372.8897
40243839,87600,8843.4678,0.7019,1,144575.3045
40243839,87864,8866.1211,0.7011,1,145007.5704
40243839,8760,512.3994,0.9827,2,18528.0582
40243839,17520,752.9100,0.9746,2,23744.9391
40243839,26280,1059.7542,0.9643,2,31954.1436
40243839,35040,1325.1876,0.9553,2,41506.4991
40243839,43800,1546.2169,0.9479,2,48339.2802
40243839,52560,1770.3937,0.9403,2,53681.5062
40243839,61320,2089.3617,0.9296,2,68029.6679
40243839,70080,2355.0053,0.9206,2,77339.5821
40243839,78840,2546.7331,0.9142,2,82268.3132
40243839,87600,2745.2215,0.9075,2,86689.1567
40243839,87864,2754.2485,0.9071,2,86982.8704
40243839,8760,314.2078,0.9894,3,12164.6362
40243839,17520,426.5603,0.9856,3,14712.6016
40243839,26280,587.3684,0.9802,3,19418.3653
40243839,35040,750.2726,0.9747,3,25800.4244
40243839,43800,867.7271,0.9708,3,30180.0734
40243839,52560,963.5086,0.9675,3,33264.2407
40243839,61320,1153.9141,0.9611,3,44015.1265
40243839,70080,1310.3816,0.9558,3,50319.3016
40243839,78840,1410.0833,0.9525,3,53218.8289
40243839,87600,1500.5053,0.9494,3,55615.8591
40243839,87864,1505.0623,0.9493,3,55805.5944
40243839,8760,197.9193,0.9933,4,8128.6767
40243839,17520,248.0431,0.9916,4,9466.4877
40243839,26280,335.8423,0.9887,4,12222.0491
40243839,35040,443.1212,0.9851,4,16560.7976
40243839,43800,510.8927,0.9828,4,19553.4608
40243839,52560,559.8904,0.9811,4,21545.3113
40243839,61320,680.7008,0.9771,4,29979.7377
40243839,70080,779.6611,0.9737,4,34396.4235
40243839,78840,837.4470,0.9718,4,36095.3565
40243839,87600,882.1004,0.9703,4,37504.9436
40243839,87864,884.4290,0.9702,4,37643.5347
40243839,8760,142.6064,0.9952,5,5486.4156
40243839,17520,167.8453,0.9943,5,6237.6853
40243839,26280,217.8593,0.9927,5,7943.1499
40243839,35040,286.2099,0.9904,5,10901.1790
40243839,43800,330.4932,0.9889,5,13040.0280
40243839,52560,359.3305,0.9879,5,14433.8839
40243839,61320,443.1533,0.9851,5,21275.9892
40243839,70080,508.4324,0.9829,5,24443.5314
40243839,78840,542.1269,0.9817,5,25468.3380
40243839,87600,562.9416,0.9810,5,26388.7469
40243839,87864,564.7074,0.9810,5,26491.5373
40243839,8760,94.2155,0.9968,6,3647.0842
40243839,17520,105.7733,0.9964,6,4097.4056
40243839,26280,135.0428,0.9954,6,5188.2332
40243839,35040,175.6060,0.9941,6,7273.4812
40243839,43800,204.5970,0.9931,6,8856.1823
40243839,52560,223.4572,0.9925,6,9879.1598
40243839,61320,279.9468,0.9906,6,15647.3397
40243839,70080,327.2217,0.9890,6,17944.7199
40243839,78840,345.7637,0.9883,6,18565.1899
40243839,87600,357.6215,0.9879,6,19237.2328
40243839,87864,359.0107,0.9879,6,19316.7982
40243839,8760,61.7112,0.9979,7,2405.9797
40243839,17520,70.6878,0.9976,7,2690.0271
40243839,26280,90.2212,0.9970,7,3396.8311
40243839,35040,118.7141,0.9960,7,4954.6826
40243839,43800,138.4159,0.9953,7,6157.8360
40243839,52560,150.9474,0.9949,7,6931.7146
40243839,61320,193.8705,0.9935,7,11938.3408
40243839,70080,229.7950,0.9923,7,13585.8830
40243839,78840,240.4977,0.9919,7,13989.1761
40243839,87600,247.6262,0.9917,7,14506.1702
40243839,87864,249.0187,0.9916,7,14563.4412
33884117,8760,1222.6855,0.9587,1,58199.7877
33884117,17520,2125.6437,0.9282,1,78560.4670
33884117,26280,3104.4262,0.8953,1,112141.2561
33884117,35040,3945.4673,0.8670,1,135968.9711
33884117,43800,4729.3578,0.8406,1,151858.7920
33884117,52560,5495.2023,0.8148,1,168041.1056
33884117,61320,6292.4076,0.7879,1,197781.1703
33884117,70080,7074.1645,0.7615,1,218889.0530
33884117,78840,7767.3629,0.7382,1,231332.2938
33884117,87600,8440.4798,0.7155,1,241093.8936
33884117,87864,8463.9338,0.7147,1,241889.4069
33884117,8760,697.3215,0.9765,2,44284.8046
33884117,17520,1023.8512,0.9655,2,57108.4721
33884117,26280,1458.2167,0.9508,2,82605.9244
33884117,35040,1790.4738,0.9397,2,100332.4584
33884117,43800,2042.6299,0.9311,2,111096.8622
33884117,52560,2313.2808,0.9220,2,122035.0565
33884117,61320,2675.9102,0.9098,2,147391.8343
33884117,70080,3009.6370,0.8986,2,164324.2119
33884117,78840,3241.4466,0.8907,2,172974.6003
33884117,87600,3449.0339,0.8837,2,179029.6003
33884117,87864,3462.6424,0.8832,2,179733.6910
33884117,8760,465.4132,0.9843,3,35359.3565
33884117,17520,654.4725,0.9779,3,44305.2807
33884117,26280,948.6832,0.9680,3,64416.2145
33884117,35040,1179.8617,0.9602,3,78037.3959
33884117,43800,1333.5031,0.9550,3,85938.8413
33884117,52560,1481.6719,0.9501,3,93925.7367
33884117,61320,1731.0012,0.9416,3,115201.8921
33884117,70080,1962.3717,0.9338,3,128231.1171
33884117,78840,2099.1233,0.9293,3,134357.3340
33884117,87600,2203.7623,0.9257,3,138202.1227
33884117,87864,2211.9811,0.9254,3,138780.9834
33884117,8760,349.1142,0.9882,4,29019.4042
33884117,17520,470.5951,0.9841,4,35551.4085
33884117,26280,684.4450,0.9769,4,51861.5386
33884117,35040,845.4953,0.9715,4,62499.6898
33884117,43800,948.5435,0.9680,4,68448.6653
33884117,52560,1039.6510,0.9650,4,74625.0568
33884117,61320,1222.7394,0.9588,4,92792.9140
33884117,70080,1388.8882,0.9532,4,102916.3683
33884117,78840,1481.3127,0.9501,4,107340.4043
33884117,87600,1544.5062,0.9480,4,109975.0714
33884117,87864,1550.3308,0.9477,4,110452.6320
33884117,8760,279.1966,0.9906,5,24026.9430
33884117,17520,358.8367,0.9879,5,28990.6929
33884117,26280,520.7902,0.9824,5,42379.3881
33884117,35040,644.4339,0.9783,5,50794.5240
33884117,43800,718.7133,0.9758,5,55385.4203
33884117,52560,786.8483,0.9735,5,60346.7690
33884117,61320,926.6500,0.9688,5,76139.5278
33884117,70080,1047.9939,0.9647,5,84077.7991
33884117,78840,1110.4863,0.9626,5,87296.3488
33884117,87600,1150.3096,0.9612,5,89145.8051
33884117,87864,1155.6532,0.9610,5,89538.1935
33884117,8760,213.7767,0.9928,6,20094.4634
33884117,17520,269.8577,0.9909,6,24015.4913
33884117,26280,393.2184,0.9867,6,35177.1374
33884117,35040,489.4530,0.9835,6,41873.6369
33884117,43800,543.7945,0.9817,6,45501.6078
33884117,52560,595.7294,0.9799,6,49558.9548
33884117,61320,704.0251,0.9763,6,63490.3455
33884117,70080,792.8495,0.9733,6,69836.9503
33884117,78840,838.8220,0.9717,6,72204.8312
33884117,87600,865.7526,0.9708,6,73535.3666
33884117,87864,871.1595,0.9706,6,73845.3068
33884117,8760,170.2692,0.9943,7,17007.8727
33884117,17520,210.9897,0.9929,7,20157.7496
33884117,26280,307.3068,0.9896,7,29595.6062
33884117,35040,381.5541,0.9871,7,34956.1667
33884117,43800,422.5376,0.9858,7,37830.7346
33884117,52560,464.6376,0.9843,7,41163.5644
33884117,61320,546.7461,0.9816,7,53636.8575
33884117,70080,618.4802,0.9792,7,58739.6289
33884117,78840,652.2645,0.9780,7,60487.5942
33884117,87600,667.5181,0.9775,7,61507.6200
33884117,87864,671.6233,0.9773,7,61739.7414
5021259,8760,1223.2618,0.9587,1,58204.4544
5021259,17520,2125.6467,0.9282,1,78571.9626
5021259,26280,3104.4291,0.8953,1,112152.7478
5021259,35040,3944.9494,0.8670,1,135980.4399
5021259,43800,4728.8525,0.8406,1,151870.5855
5021259,52560,5494.7103,0.8148,1,168052.7207
5021259,61320,6291.9293,0.7879,1,197793.3869
5021259,70080,7073.6995,0.7615,1,218901.6449
5021259,78840,7766.9095,0.7382,1,231345.2348
5021259,87600,8440.0380,0.7155,1,241107.0392
5021259,87864,8463.4924,0.7147,1,241902.5714
5021259,8760,697.9080,0.9765,2,44280.1180
5021259,17520,1024.4312,0.9654,2,57110.7498
5021259,26280,1458.7881,0.9508,2,82607.6641
5021259,35040,1791.0386,0.9396,2,100333.8238
5021259,43800,2043.1897,0.9311,2,111097.9922
5021259,52560,2313.8353,0.9220,2,122035.3782
5021259,61320,2676.4574,0.9098,2,147391.6369
5021259,70080,3010.1774,0.8985,2,164323.5900
5021259,78840,3241.9821,0.8907,2,172973.7940
5021259,87600,3449.5651,0.8837,2,179028.6650
5021259,87864,3463.1733,0.8832,2,179732.7394
5021259,8760,465.4132,0.9843,3,35353.0981
5021259,17520,654.4725,0.9779,3,44306.3214
5021259,26280,948.6832,0.9680,3,64417.2553
5021259,35040,1179.8617,0.9602,3,78038.4366
5021259,43800,1333.5031,0.9550,3,85939.8821
5021259,52560,1481.6719,0.9501,3,93926.7774
5021259,61320,1731.0012,0.9416,3,115202.9328
5021259,70080,1962.3717,0.9338,3,128232.1579
5021259,78840,2099.1233,0.9293,3,134358.3748
5021259,87600,2203.7623,0.9257,3,138203.1634
5021259,87864,2211.9811,0.9254,3,138782.0242
5021259,8760,349.1142,0.9882,4,29013.1432
5021259,17520,470.5951,0.9841,4,35552.4764
5021259,26280,684.4450,0.9769,4,51862.6065
5021259,35040,845.4953,0.9715,4,62500.7577
5021259,43800,948.5435,0.9680,4,68449.7333
5021259,52560,1039.6510,0.9650,4,74626.1247
5021259,61320,1222.7394,0.9588,4,92793.9819
5021259,70080,1388.8882,0.9532,4,102917.4362
5021259,78840,1481.3127,0.9501,4,107341.4722
5021259,87600,1544.5062,0.9480,4,109976.1393
5021259,87864,1550.3308,0.9477,4,110453.6999
5021259,8760,279.1966,0.9906,5,24020.6798
5021259,17520,358.8367,0.9879,5,28991.7767
5021259,26280,520.7902,0.9824,5,42380.4718
5021259,35040,644.4339,0.9783,5,50795.6078
5021259,43800,718.7133,0.9758,5,55386.5041
5021259,52560,786.8483,0.9735,5,60347.8528
5021259,61320,926.6500,0.9688,5,76140.6116
5021259,70080,1047.9939,0.9647,5,84078.8829
5021259,78840,1110.4863,0.9626,5,87297.4326
5021259,87600,1150.3096,0.9612,5,89146.8889
5021259,87864,1155.6532,0.9610,5,89539.2772
5021259,8760,213.7767,0.9928,6,20088.1982
5021259,17520,269.8577,0.9909,6,24016.5898
5021259,26280,393.2184,0.9867,6,35178.2358
5021259,35040,489.4530,0.9835,6,41874.7353
5021259,43800,543.7945,0.9817,6,45502.7062
5021259,52560,595.7294,0.9799,6,49560.0532
5021259,61320,704.0251,0.9763,6,63491.4439
5021259,70080,792.8495,0.9733,6,69838.0488
5021259,78840,838.8220,0.9717,6,72205.9296
5021259,87600,865.7526,0.9708,6,73536.4650
5021259,87864,871.1595,0.9706,6,73846.4052
5021259,8760,170.2692,0.9943,7,17001.6064
5021259,17520,210.9897,0.9929,7,20151.4833
5021259,26280,307.3068,0.9896,7,29589.3399
5021259,35040,381.5541,0.9871,7,34949.9004
5021259,43800,422.5376,0.9858,7,37824.4683
5021259,52560,464.6376,0.9843,7,41157.2981
5021259,61320,546.7461,0.9816,7,53630.5912
